,Cal_ID,SMILES,TC,RI,DC
66,PI751,[*]c1ccc(-c2ccc(-c3nc4ccc(-c5ccc6nc([*])oc6c5)cc4o3)cc2)cc1,1.7069999999999999,350.2273007,0.37400442700000003
67,PI1036,[*]NNC(=O)c1ccc2cc(C(=O)NNC(=O)c3cccc(C([*])=O)c3)ccc2c1,1.665,256.5012567,0.316411554
68,PI754,[*]NNC(=O)c1ccc(-c2ccc(C(=O)NNC(=O)c3cccc(C([*])=O)c3)cc2)cc1,1.704,262.18325150000004,0.33194566
69,PI1018,[*]NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc(C([*])=O)cc2)c1,1.732,299.3934418,0.254775725
70,PI911,[*]C(=O)N([*])C=C,1.839,349.6397645,0.289671931
71,PI1196,[*]C(=O)NNC(=O)c1cnc([*])cn1,1.706,351.21184389999996,0.47200000000000003
72,PI1217,[*]Nc1ccc(C#Cc2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,1.732,201.56627769999997,0.451
73,PI1082,[*]NC(=O)c1ccc(C(=O)Nc2cnc([*])nc2)cc1,1.4669999999999999,231.87036080000001,0.2249129
74,PI1151,[*]Nc1cccc(C#Cc2ccc(C([*])=O)cc2)c1,1.719,301.1538374,0.315
75,PI750,[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)c1,1.651,338.1106975,0.29305779600000004
76,PI706,[*]Nc1ccc(NC(=O)C=CC([*])=O)cc1,1.671,349.90550930000006,0.328084105
77,PI1168,[*]NC(=O)C=CC(=O)Nc1nc([*])nc(N)n1,1.6880000000000002,229.0988185,0.419
78,PI1182,[*]NNC(=O)C=CC(=O)Nc1ccc(NC(=O)C=CC([*])=O)cc1,1.714,213.1412759,0.606
79,PI879,[*]Nc1ccc(Nc2ccc(C(=O)Nc3ccc(NC(=O)c4ccc([*])cc4)cc3)cc2)cc1,1.581,228.7840276,0.22840445899999998
80,PI1179,[*]NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc([*])n3)cc2)cc1,1.784,179.0996576,0.325
81,PI1214,[*]c1ccc(C(=O)Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,1.735,228.3476958,0.379
82,PI1167,[*]c1ccc(Nc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,1.6969999999999998,243.8601458,0.331
83,PI1202,[*]c1ccc(Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,1.69,317.1884659,0.619
84,PI1143,[*]CC#CC#CCn1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O,1.719,271.6980595,0.545
85,PI1171,[*]C(C#N)=C(C#N)n1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O,1.591,117.1439092,0.266
86,PI397,[*]c1ccc(-c2nc3cc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)ccc3[nH]2)cc1,1.554,78.45762602,0.263259921
87,PI1216,[*]c1cncc(-c2nc3cc(-c4ccc5[nH]c([*])nc5c4)ccc3[nH]2)c1,1.683,150.0999785,0.39799999999999996
88,PI1183,[*]c1ccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)cc1,1.705,155.2310994,0.46
89,PI1181,[*]c1cccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)c1,1.694,156.09436000000002,0.479
90,PI1163,[*]c1ccc2[nH]c([*])nc2c1,1.673,383.1390664,0.618
91,PI349,[*]c1nc2cc(-c3ccc4[nH]c(-c5cccc6cc7c([*])cccc7cc56)nc4c3)ccc2[nH]1,1.3219999999999998,-8.438786161,0.117620774
92,PI1193,[*]c1ccc2cc(-c3nc4cc5nc([*])[nH]c5cc4[nH]3)ccc2c1,1.6569999999999998,310.0023482,0.259
93,PI351,[*]c1cccc(-c2nc3cc(-c4ccc5[nH]c([*])nc5c4)ccc3[nH]2)c1,1.324,-3.1615138430000003,0.11840379699999999
94,PI841,[*]c1ccc2ccc(-c3nc4cc(-c5ccc6[nH]c([*])nc6c5)ccc4[nH]3)cc2c1,1.6969999999999998,170.0834298,0.298685003
95,PI1178,[*]c1nc2cc(-c3ccc4[nH]c(-c5ccccc5[*])nc4c3)ccc2[nH]1,1.68,242.65394959999998,0.491
96,PI1142,[*]C=Cc1ccc(C=Cc2nc3cc4nc([*])[nH]c4cc3[nH]2)cc1,1.704,240.15387859999998,0.317
97,PI1169,[*]Nc1ccc(-c2ccc(NC3=CC(=O)C([*])=CC3=O)cc2)cc1,1.6669999999999998,220.21130840000004,0.326
98,PI1176,[*]Nc1ccc([*])nc1,1.6,196.9029555,0.386
99,PI901,[*]Nc1nnc(Nc2n[nH]c([*])n2)[nH]1,1.505,242.533812,0.244338127
