,ID,SMILES,RI,Tg,TC,MW_ratio,Mass_ave,K_bond_min,K_bond_ave,K_ang_ave,Theta0_ave,K_dih_max,K_dih_ave,VE1_A,AATS0d,AATS0Z,BalabanJ,HybRatio,SaasC,ETA_dBeta,IC1,IC3,MIC1,Mor14,SMR_VSA5,VSA_EState4,VSA_EState8,VR3_A,nN,AATS2d,ATSC1d,ATSC3d,Xch-6d,SlogP_VSA1,SMILES,Monomer_length,Mass_max,nH,ATSC2Z,ATSC5Z,AATSC0Z,AATSC2Z,BCUTd-1h,BCUTZ-1h,nHBDon,MIC0,Kier3,Mor02,Mor19,SMR_VSA1,SMR_VSA3
21,PI25,*C(C*)CC1CCCCC1,1.472,59.69819982,0.229332958,0.22583501,4.96908,218.51,320.2676923,50.15225926,109.9724074,0.29,0.132,3.096682295,2.37037037,12.59259259,2.132484961,1,0,-6,1.736006946,3.587858798,12.58835193,1.353158691,51.86948856,0,1.732638889,3.804011324,0,2.555555556,0.555555556,-1.534979424,0.102062073,0,*C(C*)CC1CCCCC1,2.67,12.011,16,-48.48148148,-16.66666667,5.871056241,-0.897805213,3.038494766,6.219935095,0,6.796581,3.265306122,33.18103363,1.463163778,0,0
22,PI26,*C(C*)Cc1ccccc1,1.58,81.11543865,0.192462189,0.237414333,6.219947368,218.51,353.227,54.15361111,115.135,3.625,1.598752437,3.096682295,2.761904762,15.9047619,2.132484961,0.333333333,1.562546296,0,2.63855926,3.975418018,16.96339304,0.574953411,19.76538045,1.562546296,1.633823696,3.804011324,0,2.916666667,0.380952381,-0.272108844,0.102062073,0,*C(C*)Cc1ccccc1,2.58,12.011,10,-21.53741497,-42.40816327,6.616780045,-0.598261527,3.056992607,6.310995823,0,6.80613918,3.265306122,20.28187857,0.342315476,0,0
23,PI27,*C(C*)CCc1ccccc1,1.573,37.10927986,0.213754837,0.212222054,6.009363636,218.51,349.9521739,53.34416667,114.3757143,3.625,1.406077441,3.189724949,2.666666667,15.5,2.045533325,0.4,1.537962963,-0.5,2.715347276,4.136842188,18.13353945,0.893617224,26.18620207,1.537962963,1.659557115,4.100218774,0,2.785714286,0.5,-0.5,0.102062073,0,*C(C*)CCc1ccccc1,2.67,12.011,12,-30,-4,6.5,-0.714285714,3.053720197,6.311108745,0,6.824960937,4,29.03889473,0.596489318,0,0
24,PI28,*C(C*)C(c1ccccc1)C,1.538,100.930371,0.185319288,0.212222054,6.009363636,218.51,349.9521739,53.58564286,114.3442857,3.625,1.407154882,3.18925824,2.75,15.5,2.332831699,0.4,1.567175926,-0.5,2.715347276,4.105388542,18.13353945,0.779498826,26.18620207,1.567175926,4.032619992,4.010200956,0,2.976190476,3.5,-5.5,0.102062073,0,*C(C*)C(c1ccccc1)C,2.62,12.011,12,-5,-18,6.5,-0.119047619,3.159977167,6.312785052,0,6.824960937,2.777777778,25.39301947,0.818738392,0,0
25,PI29,*C1CC(CC1)C*,1.504,80.65831305,0.316659421,1,5.134125,232.52,316.8729412,50.96311111,110.0283333,0.29,0.133492063,2.668822065,2.555555556,12.55555556,2.218336754,1,0,-4.5,1.949137865,3.725480557,13.99703723,1.159196965,32.60702369,0,1.697083333,2.946857606,0,2.75,0.333333333,-5.098765432,0.201184464,0,*C1CC(CC1)C*,4.6,12.011,10,-23.55555556,40.92592593,6.024691358,-0.654320988,3.039330895,6.214601101,0,6.8205398,1.487603306,29.237335,1.102410221,0,0
26,PI30,*C(C*)CCCCCC,1.465,-45.78618339,0.285305157,0.25,4.675666667,218.51,327.58,48.73595833,109.7589583,0.29,0.130416667,2.862980516,2,11.69230769,2.886162798,1,0,-5,1.715453546,3.690260391,12.44265968,1.170463947,52.37240414,0,4.009492788,3.584047644,0,2.0625,0.520710059,-0.112426036,0,0,*C(C*)CCCCCC,2.67,12.011,16,-60.62130178,-5.49112426,5.633136095,-1.262943787,3.025710374,6.193769234,0,6.718790131,7,30.31723074,1.378569422,0,0
27,PI31,*C(C*)CCCCCCCCCC,1.459,-12.4423114,0.342728736,0.166666667,4.675666667,218.51,327.76,48.66352778,109.7443056,0.29,0.127314815,3.272953753,2,12,2.916821984,1,0,-7,1.548758434,3.256677595,11.3096583,1.953524362,78.05569063,0,4.015477334,4.717900608,0,2.097222222,0.531855956,-0.074792244,0,0,*C(C*)CCCCCCCCCC,2.61,12.011,24,-91.79224377,-3.457063712,5.617728532,-1.274892275,3.025718081,6.202640956,0,6.729603232,11,51.47131525,1.998130342,0,0
28,PI32,*C(C*)CCCCCCCCCCCC,1.461,-7.460595495,0.357973495,0.142857143,4.675666667,218.51,327.8114286,48.64283333,109.740119,0.29,0.126428571,3.433091302,2,12.09090909,2.931216104,1,0,-8,1.489893309,3.062499301,10.89467982,2.972267605,90.89733387,0,4.0182018,5.198171592,0,2.107142857,0.535123967,-0.064049587,0,0,*C(C*)CCCCCCCCCCCC,2.72,12.011,28,-107.8264463,-2.909090909,5.611570248,-1.28364817,3.025721963,6.205723674,0,6.731989035,13,56.24601519,2.615839975,0,0
29,PI33,*C(C*)CCCCCCCCCCCCCCCC,1.456,26.53977759,0.373038526,0.111111111,4.675666667,218.51,327.88,48.61524074,109.734537,0.29,0.125246914,3.680191291,2,12.21428571,2.95698517,1,0,-10,1.401628869,2.753425137,10.26401129,3.738523476,116.5806204,0,4.022558797,6.059530295,0,2.12037037,0.539540816,-0.049744898,0,0,*C(C*)CCCCCCCCCCCCCCCC,2.65,12.011,36,-140.3061224,-2.204081633,5.602040816,-1.299130763,3.025729783,6.210944846,0,6.734645195,17,74.92362272,2.952372836,0,0
30,PI35,*C(C*)C(CC)C,1.447,-2.109846798,0.234228593,0.333333333,4.675666667,218.51,327.4,49.08963889,109.7575,0.29,0.134753086,2.595082264,2.1,11.4,3.292478156,1,0,-4,1.970950594,3.646439345,14.8178203,0.980169158,33.61285484,0,6.448055556,2.796829697,0,2.194444444,2.51,-4.85,0,0,*C(C*)C(CC)C,2.82,12.011,12,-21.04,36.16,5.64,-0.584444444,3.115074159,6.202433395,0,6.704524917,2.8125,27.39434027,0.821748926,0,0
